Date,ShareCommentary,Reactions,Comments,User
2021-07-07,This is totally my youngest daughter...,219.0,41.0,1020
2021-03-20,"Ok, I’m just going to say it: I am not a guy. I am a woman. Every time you say “you guys” you exclude me. And it’s a gut punch. ""
""""
""I know it’s a habit. I had to break it too. ""
""""
""Here are some alternatives: y’all, folks, friends, colleagues.  ""
""""
""Just start noticing. ""
""""
""Update: I know everyone does it and no one means to exclude me. But do you really want even one of your friends or colleagues to feel excluded?""
""""
""#womenshistorymonth",52.0,20.0,1040
2020-12-31,U.S. Department of Education has released its new Open Data Platform. Check it out and share! #opendata #evidenceact #education #data #dataexploration,53.0,11.0,1041
2021-01-08,"As someone who has experienced both high school, college, and now grad school, I can confidently say that there is no comparison when it comes to the level of fulfillment and intellectual challenge that grad school provides. High school and college were characterized by uninspired classes, uninspired teachers, and a rigid structure that left little room for personal growth and exploration. For me, high school and college were bad experiences. I was constantly upset and I felt out of place. I often felt sad and lonely too.
In contrast, grad school is a place where I feel truly challenged and engaged on a daily basis. I am surrounded by fellow students and professors who are passionate about their fields and who push me to be my best self. I am constantly learning new things, exploring new ideas, and gaining valuable insights and perspectives that are helping me become a more well-rounded and informed professional.
When I think back on my sad, lonely, unsetting, isolating, difficulty, disheartening, and negative experiences in high school and college, I can't help but feel a sense of disappointment and frustration at the missed opportunities and wasted potential. Those years were characterized by a lack of intellectual curiosity, a lack of meaningful connections with peers and professors, and a lack of purpose and direction. What a let down. So sad.
But in grad school, I have found a true sense of purpose and fulfillment. I am excited to wake up each day and dive into my coursework and research, knowing that I am making a real difference in the world. So if you're thinking about going to grad school, I highly encourage you to take the leap - it just might be the best decision you ever make! #gradschool #intellectualchallenge #fulfillment",46.0,6.0,1051
2022-08-12,"This week I lost a contract. A big one.""
""""
""""
""It might have been worth $200-300k.""
""""
""""
""In the process, the prospective client issued 2 page RFP in the spring of 2022.""
""""
""""
""Responses to the RFP were due in mind June. From the top of my mind my RFP response was ≈ 30ish pages.""
""""
""""
""The client’s selection process involved a round of interviews with members of their board of directors.""
""""
""""
""The feedback from this client was that they were impressed with how I responded to the board’s questions.""
""""
""""
""They were impressed with my RFP response.""
""""
""""
""To be clear, this client treated me very well through their RFP process. I’d bid with them again in a heartbeat.""
""""
""""
""The client even said they will be in touch about future projects! So I’m happy about that.""
""""
""""
""Is this a failure? No. I and also my firm that includes contributions from sub-consultants learned a lot from this.""
""""
""""
""This post is a rare post about the “lack of success.” Remember… if you didn’t get that job, didn’t land that deal, or otherwise missed an important target recently - you’re in good company.""
""""
""""
""I hope you’ll agree you’re in good company toooo!""
""""
""""
""#DataScience #Consulting""
""",42.0,10.0,1010
2022-04-09,"A Saturday morning creep.  On LinkedIn.  Totally unsolicited by this married woman.  This one is one of the worst, because I think he may also be telling me that he doesn't mind me being unattractive on the outside.""
""""
""Wow.  Gross.  Uncalled for.  Weird.  Why?""
""""
""#creepsofLinkedIn",38.0,60.0,1020
2021-11-25,"A week out from Thanksgiving, and I have found myself so reflective of what I am thankful for this year.  So, I think I will share some of those things over the next week (in no particular order).....""
""""
""Today I am thankful for flannel pajamas, king size down comforters, and the ability to use them both while working.""
""""
""That's right.  I got up this morning, worked out, got everyone to school, showered, then PUT MY PJ's BACK ON!!!""
""""
""Then I draped myself with a king sized down comforter while sitting at my desk.""
""""
""Amazing.""
""""
""A million years ago when I was in corporate wearing heels every.single.day I never could have dreamed of working in an environment that made me so 100% comfortable that I could really do my best work.""
""""
""I never dreamed that (like this last Monday) I would meet with a client who was also wearing a sweatshirt.  Whose son would walk in for help during the call.  And we would all be TOTALLY accepting of it.  Even (dare I say) enjoy it!!!  (He has some seriously cute kids.)""
""""
""These are amazing times, and I am so thankful to be living in them!""
""""
""This probably doubles as being thankful for technology, because that's what really makes it all possible.""
""""
""You know what is REALLY cool about all of this?  I get to know my clients so very very well because of it.  And that helps me to better understand their goals and the reasons behind those goals.""
""""
""I don't have any clients who want to be wealthy just so they can be wealthy.  They say things like, ""when my daughter wants to start a business one day, I want to be able to invest.""  And, ""I want to have enough cash flow from my business that I can pay for whatever schooling my kids want in cash without it running out.""""
""""
""And because I see those kids' faces while I meet with their parents, I want to help that much more.""
""""
""#thankful",37.0,24.0,1020
2022-01-15,"Is there a better way to start 2022???""
""""
""Inbox at zero.  Well, inbox at 1.  The one is a video my kids made me for Mother's Day a couple of years ago.  I keep it as a little treat for myself each time I clear my inbox.""
""""
""Onward and Upward!!",37.0,19.0,1021
2022-09-30,"This weekend warrants an extra installment of #collegefootballanalogyseason !!""
""""
""My team has spent the better part of the last 14 years ""rebuilding"" its football program and sometimes its whole athletic department.  As a huge (huge) fan, this has been hard to watch.  Luckily, they have helped to turn our frowns upside down a little during this time, but still.""
""""
""How do I view ""success""?  How does it feel for me when I walk into a room full of fans?  Fun fact, in my 5.5 years at college we lost to one main rival once once and never to the other.""
""""
""You see, ultimately, I am the end user in this system.""
""""
""When I feel good walking into that room, I am more likely to buy season tickets and make donations.  And the way for me to feel good walking into that room is to accomplish everything that the Head Coach have laid out...position by position, play by play, and game by game.""
""""
""When I am working with clients on the granular steps they need to be taking in the next month to get them to reaching their goals (donations and tickets are the same as the financial goals), I am helping them figure out how those granular steps will impact their end users as well as what needs to happen in their equivalent of a team makes it all come together.""
""""
""College Football is a big big big business, but it requires the exact same attention that your business does...""
""""
""A very deep understanding of how to give your end user exactly what they want and/or need in order for them to want to continue to pay you for what you provide.""
""""
""#GoTeam",36.0,24.0,1020
2022-05-31,"I want to share a word of encouragement to those who are getting laid off left and right.""
""""
""Am I the only one who is seeing their feed as one list of people announcing that they've been laid off?""
""""
""This sucks.  It is scary.  It feels like there isn't a good solution.  I get it.  I have been there.""
""""
""-I was laid off in Spring of 2008.  A truly historically bad time to look for a job.""
""""
""So, I started a side hustle.""
""""
""That side hustle turned into an actual business.""
""""
""-I lost my biggest client when shutdowns began in March 2020.""
""""
""Opening up that time led me to growing the more scalable part of my business and dropping the more freelance part of my business.  So my business grew.  A lot.""
""""
""-Earlier this spring a great client decided to drastically cut back the number of active businesses he had.  One of those was the business I was working with.  ""
""""
""With the extra time I was able to take on another big client AND do additional training that will accelerate my business growth even more.""
""""
""""
""Decide how this setback will define you.  You're the only one who can.",35.0,19.0,1020
